"DATA No","DATE","TIME","³µËÙ","A1","A2","A3","A4","A1-----A4ID1"
133,2017/11/30,09:41:23,1.755000E+01,2464,1594,14,2673,2464
134,2017/11/30,09:41:23,1.755000E+01,2464,1574,-31,2665,2464
135,2017/11/30,09:41:23,1.755000E+01,2475,1543,-66,2657,2475
136,2017/11/30,09:41:23,1.755000E+01,2481,1493,-64,2641,2481
137,2017/11/30,09:41:23,1.755000E+01,2481,1441,-11,2611,2481
138,2017/11/30,09:41:23,1.755000E+01,2469,1378,36,2564,2469
139,2017/11/30,09:41:23,1.755000E+01,2458,1317,64,2515,2458
140,2017/11/30,09:41:23,1.755000E+01,2451,1272,72,2455,2451
141,2017/11/30,09:41:23,1.755000E+01,2454,1253,71,2364,2454
142,2017/11/30,09:41:23,1.755000E+01,2458,1254,67,2286,2458
143,2017/11/30,09:41:23,1.755000E+01,2452,1254,52,2202,2452
144,2017/11/30,09:41:23,1.755000E+01,2441,1242,40,2105,2441
145,2017/11/30,09:41:23,1.755000E+01,2423,1222,26,1996,2423
146,2017/11/30,09:41:23,1.755000E+01,2413,1205,7,1879,2413
147,2017/11/30,09:41:23,1.755000E+01,2409,1195,-17,1729,2409
148,2017/11/30,09:41:23,1.755000E+01,2411,1200,-44,1610,2411
149,2017/11/30,09:41:23,1.755000E+01,2421,1202,-65,1484,2421
150,2017/11/30,09:41:23,1.755000E+01,2434,1191,-65,1360,2434
151,2017/11/30,09:41:23,1.755000E+01,2446,1166,-52,1235,2446
152,2017/11/30,09:41:23,1.755000E+01,2454,1144,-27,1104,2454
153,2017/11/30,09:41:23,1.755000E+01,2455,1138,6,939,2455
154,2017/11/30,09:41:23,1.755000E+01,2440,1155,32,815,2440
155,2017/11/30,09:41:23,1.755000E+01,2429,1174,41,696,2429
156,2017/11/30,09:41:23,1.755000E+01,2422,1190,30,580,2422
157,2017/11/30,09:41:23,1.755000E+01,2422,1204,14,456,2422
158,2017/11/30,09:41:23,1.755000E+01,2434,1221,3,323,2434
159,2017/11/30,09:41:23,1.755000E+01,2446,1244,-2,160,2446
160,2017/11/30,09:41:23,1.755000E+01,2462,1272,-4,53,2462
161,2017/11/30,09:41:23,1.755000E+01,2471,1288,-6,6,2471
162,2017/11/30,09:41:23,1.755000E+01,2474,1299,-7,-18,2474
163,2017/11/30,09:41:23,1.755000E+01,2471,1309,-3,-10,2471
164,2017/11/30,09:41:23,1.755000E+01,2462,1320,5,-12,2462
165,2017/11/30,09:41:23,1.755000E+01,2452,1334,18,-15,2452
166,2017/11/30,09:41:23,1.755000E+01,2449,1349,29,-10,2449
167,2017/11/30,09:41:23,1.755000E+01,2464,1356,31,-21,2464
168,2017/11/30,09:41:23,1.755000E+01,2484,1361,23,-14,2484
169,2017/11/30,09:41:23,1.755000E+01,2503,1369,10,-11,2503
170,2017/11/30,09:41:23,1.755000E+01,2518,1380,-1,-14,2518
171,2017/11/30,09:41:23,1.755000E+01,2519,1389,-9,-3,2519
172,2017/11/30,09:41:23,1.755000E+01,2511,1393,-15,1,2511
173,2017/11/30,09:41:23,1.755000E+01,2503,1389,-21,27,2503
174,2017/11/30,09:41:23,1.755000E+01,2495,1384,-21,52,2495
175,2017/11/30,09:41:23,1.755000E+01,2489,1378,-6,73,2489
176,2017/11/30,09:41:23,1.755000E+01,2480,1369,19,90,2480
177,2017/11/30,09:41:23,1.755000E+01,2469,1355,43,105,2469
178,2017/11/30,09:41:23,1.755000E+01,2460,1337,54,110,2460
179,2017/11/30,09:41:23,1.755000E+01,2465,1328,51,114,2465
180,2017/11/30,09:41:23,1.755000E+01,2473,1323,46,115,2473
181,2017/11/30,09:41:23,1.755000E+01,2484,1323,43,111,2484
182,2017/11/30,09:41:23,1.755000E+01,2490,1325,34,99,2490
183,2017/11/30,09:41:23,1.755000E+01,2498,1333,10,78,2498
184,2017/11/30,09:41:23,1.755000E+01,2511,1353,-29,64,2511
185,2017/11/30,09:41:23,1.755000E+01,2523,1371,-84,45,2523
186,2017/11/30,09:41:23,1.755000E+01,2533,1385,-109,19,2533
187,2017/11/30,09:41:23,1.755000E+01,2543,1393,-102,3,2543
188,2017/11/30,09:41:23,1.755000E+01,2549,1396,-68,-9,2549
189,2017/11/30,09:41:23,1.755000E+01,2551,1396,-26,-8,2551
190,2017/11/30,09:41:23,1.755000E+01,2555,1394,9,-6,2555
191,2017/11/30,09:41:23,1.755000E+01,2554,1390,34,-11,2554
192,2017/11/30,09:41:23,1.755000E+01,2543,1385,47,-5,2543
193,2017/11/30,09:41:23,1.755000E+01,2527,1380,56,-10,2527
194,2017/11/30,09:41:23,1.755000E+01,2504,1377,61,-11,2504
195,2017/11/30,09:41:23,1.755000E+01,2487,1377,62,-7,2487
196,2017/11/30,09:41:23,1.755000E+01,2475,1383,56,-8,2475
197,2017/11/30,09:41:23,1.755000E+01,2467,1390,40,4,2467
198,2017/11/30,09:41:23,1.755000E+01,2463,1399,24,21,2463
199,2017/11/30,09:41:23,1.755000E+01,2462,1406,10,42,2462
200,2017/11/30,09:41:23,1.755000E+01,2468,1409,0,58,2468
201,2017/11/30,09:41:23,1.755000E+01,2476,1407,-6,62,2476
202,2017/11/30,09:41:23,1.755000E+01,2482,1400,-3,53,2482
203,2017/11/30,09:41:23,1.755000E+01,2484,1390,9,38,2484
204,2017/11/30,09:41:23,1.755000E+01,2487,1382,14,25,2487
205,2017/11/30,09:41:23,1.755000E+01,2494,1375,12,19,2494
206,2017/11/30,09:41:23,1.755000E+01,2503,1369,1,21,2503
207,2017/11/30,09:41:23,1.755000E+01,2511,1366,-14,14,2511
208,2017/11/30,09:41:23,1.755000E+01,2516,1358,-29,7,2516
209,2017/11/30,09:41:23,1.755000E+01,2514,1351,-42,0,2514
210,2017/11/30,09:41:23,1.755000E+01,2513,1346,-43,-2,2513
211,2017/11/30,09:41:23,1.755000E+01,2512,1347,-38,0,2512
212,2017/11/30,09:41:23,1.755000E+01,2509,1349,-31,-4,2509
213,2017/11/30,09:41:23,1.755000E+01,2503,1349,-24,-3,2503
214,2017/11/30,09:41:23,1.755000E+01,2485,1338,-15,-4,2485
215,2017/11/30,09:41:23,1.755000E+01,2468,1325,3,-6,2468
216,2017/11/30,09:41:23,1.755000E+01,2452,1316,18,-3,2452
217,2017/11/30,09:41:23,1.755000E+01,2439,1315,25,-5,2439
218,2017/11/30,09:41:23,1.755000E+01,2429,1318,29,-5,2429
219,2017/11/30,09:41:23,1.755000E+01,2425,1321,32,-5,2425
220,2017/11/30,09:41:23,1.755000E+01,2422,1321,36,-8,2422
221,2017/11/30,09:41:23,1.755000E+01,2420,1320,32,-6,2420
222,2017/11/30,09:41:23,1.755000E+01,2423,1325,21,-7,2423
223,2017/11/30,09:41:23,1.755000E+01,2425,1335,14,-8,2425
224,2017/11/30,09:41:23,1.755000E+01,2425,1344,13,-6,2425
225,2017/11/30,09:41:23,1.755000E+01,2423,1349,15,-7,2423
226,2017/11/30,09:41:23,1.755000E+01,2419,1347,15,-6,2419
227,2017/11/30,09:41:23,1.755000E+01,2422,1342,11,-4,2422
228,2017/11/30,09:41:23,1.755000E+01,2431,1340,8,-5,2431
229,2017/11/30,09:41:23,1.755000E+01,2437,1338,8,-4,2437
230,2017/11/30,09:41:23,1.755000E+01,2443,1337,2,-5,2443
231,2017/11/30,09:41:23,1.755000E+01,2449,1334,-10,-5,2449
232,2017/11/30,09:41:23,1.755000E+01,2457,1331,-25,2,2457
233,2017/11/30,09:41:23,1.755000E+01,2468,1331,-37,17,2468
234,2017/11/30,09:41:23,1.755000E+01,2480,1333,-37,36,2480
235,2017/11/30,09:41:23,1.755000E+01,2485,1339,-26,50,2485
236,2017/11/30,09:41:23,1.755000E+01,2487,1342,-12,51,2487
237,2017/11/30,09:41:23,1.755000E+01,2482,1345,-3,41,2482
238,2017/11/30,09:41:23,1.755000E+01,2472,1346,0,31,2472
239,2017/11/30,09:41:23,1.755000E+01,2467,1346,-1,21,2467
240,2017/11/30,09:41:23,1.755000E+01,2460,1346,1,10,2460
241,2017/11/30,09:41:23,1.755000E+01,2451,1346,7,2,2451
242,2017/11/30,09:41:23,1.755000E+01,2438,1346,13,-2,2438
243,2017/11/30,09:41:23,1.755000E+01,2428,1351,15,-7,2428
244,2017/11/30,09:41:23,1.755000E+01,2422,1360,10,-5,2422
245,2017/11/30,09:41:23,1.755000E+01,2423,1360,3,-6,2423
246,2017/11/30,09:41:23,1.755000E+01,2422,1355,5,-7,2422
247,2017/11/30,09:41:23,1.755000E+01,2422,1348,11,-4,2422
248,2017/11/30,09:41:23,1.755000E+01,2421,1342,16,-7,2421
249,2017/11/30,09:41:23,1.755000E+01,2422,1340,12,-5,2422
250,2017/11/30,09:41:23,1.755000E+01,2424,1338,7,-4,2424
251,2017/11/30,09:41:23,1.755000E+01,2425,1335,8,-6,2425
252,2017/11/30,09:41:23,1.755000E+01,2424,1333,10,-4,2424
253,2017/11/30,09:41:23,1.755000E+01,2418,1334,4,-6,2418
254,2017/11/30,09:41:23,1.755000E+01,2417,1336,-9,-3,2417
255,2017/11/30,09:41:23,1.755000E+01,2417,1339,-22,7,2417
256,2017/11/30,09:41:23,1.755000E+01,2429,1341,-26,16,2429
257,2017/11/30,09:41:23,1.755000E+01,2441,1343,-19,27,2441
258,2017/11/30,09:41:23,1.755000E+01,2450,1349,-8,33,2450
259,2017/11/30,09:41:23,1.755000E+01,2455,1357,1,32,2455
260,2017/11/30,09:41:23,1.755000E+01,2464,1362,2,25,2464
261,2017/11/30,09:41:23,1.755000E+01,2476,1365,0,10,2476
262,2017/11/30,09:41:23,1.755000E+01,2485,1367,0,1,2485
263,2017/11/30,09:41:23,1.755000E+01,2488,1371,1,-4,2488
264,2017/11/30,09:41:23,1.755000E+01,2483,1378,5,-4,2483
265,2017/11/30,09:41:23,1.755000E+01,2484,1385,5,-3,2484
266,2017/11/30,09:41:23,1.755000E+01,2487,1391,0,-5,2487
267,2017/11/30,09:41:23,1.755000E+01,2484,1397,-6,-3,2484
268,2017/11/30,09:41:23,1.755000E+01,2473,1400,-8,-3,2473
269,2017/11/30,09:41:23,1.755000E+01,2460,1399,-2,-2,2460
270,2017/11/30,09:41:23,1.755000E+01,2447,1395,3,-4,2447
271,2017/11/30,09:41:23,1.755000E+01,2438,1390,1,-5,2438
272,2017/11/30,09:41:23,1.755000E+01,2435,1387,-10,-5,2435
273,2017/11/30,09:41:23,1.755000E+01,2431,1382,-16,-4,2431
274,2017/11/30,09:41:23,1.755000E+01,2426,1368,-11,-1,2426
275,2017/11/30,09:41:23,1.755000E+01,2420,1355,5,-1,2420
276,2017/11/30,09:41:23,1.755000E+01,2413,1351,10,0,2413
277,2017/11/30,09:41:23,1.755000E+01,2415,1354,5,-1,2415
278,2017/11/30,09:41:23,1.755000E+01,2418,1359,-5,0,2418
279,2017/11/30,09:41:23,1.755000E+01,2419,1361,-7,11,2419
280,2017/11/30,09:41:23,1.755000E+01,2424,1355,2,21,2424
281,2017/11/30,09:41:23,1.755000E+01,2427,1353,21,29,2427
282,2017/11/30,09:41:23,1.755000E+01,2432,1356,35,30,2432
283,2017/11/30,09:41:23,1.755000E+01,2439,1363,43,27,2439
284,2017/11/30,09:41:23,1.755000E+01,2443,1372,48,18,2443
285,2017/11/30,09:41:23,1.755000E+01,2441,1379,48,5,2441
286,2017/11/30,09:41:23,1.755000E+01,2440,1383,43,-1,2440
287,2017/11/30,09:41:23,1.755000E+01,2437,1384,32,-4,2437
288,2017/11/30,09:41:23,1.755000E+01,2435,1381,17,-2,2435
289,2017/11/30,09:41:23,1.755000E+01,2436,1376,-2,-2,2436
290,2017/11/30,09:41:23,1.755000E+01,2435,1376,-21,-5,2435
291,2017/11/30,09:41:23,1.755000E+01,2431,1379,-37,-2,2431
292,2017/11/30,09:41:23,1.755000E+01,2428,1383,-53,-6,2428
293,2017/11/30,09:41:23,1.755000E+01,2426,1380,-66,-5,2426
294,2017/11/30,09:41:23,1.755000E+01,2428,1372,-69,-4,2428
295,2017/11/30,09:41:23,1.755000E+01,2429,1366,-62,-7,2429
296,2017/11/30,09:41:23,1.755000E+01,2427,1364,-43,-5,2427
297,2017/11/30,09:41:23,1.755000E+01,2423,1364,-19,-6,2423
298,2017/11/30,09:41:23,1.755000E+01,2426,1366,0,-5,2426
299,2017/11/30,09:41:23,1.755000E+01,2429,1369,10,-1,2429
300,2017/11/30,09:41:23,1.755000E+01,2430,1373,12,3,2430
301,2017/11/30,09:41:23,1.755000E+01,2424,1383,15,9,2424
302,2017/11/30,09:41:23,1.755000E+01,2412,1424,25,14,2412
303,2017/11/30,09:41:23,1.755000E+01,2401,1489,34,12,2401
304,2017/11/30,09:41:23,1.755000E+01,2397,1592,38,9,2397
305,2017/11/30,09:41:23,1.755000E+01,2398,1673,37,3,2398
306,2017/11/30,09:41:23,1.755000E+01,2400,1756,35,-2,2400
307,2017/11/30,09:41:23,1.755000E+01,2394,1856,37,-3,2394
308,2017/11/30,09:41:23,1.755000E+01,2384,1968,38,-3,2384
309,2017/11/30,09:41:23,1.755000E+01,2375,2077,42,-4,2375
310,2017/11/30,09:41:23,1.755000E+01,2372,2191,43,-4,2372
311,2017/11/30,09:41:23,1.755000E+01,2372,2255,56,-5,2372
312,2017/11/30,09:41:23,1.755000E+01,2377,2305,80,-4,2377
313,2017/11/30,09:41:23,1.755000E+01,2386,2349,114,-1,2386
314,2017/11/30,09:41:23,1.755000E+01,2404,2400,154,2,2404
315,2017/11/30,09:41:23,1.755000E+01,2425,2463,205,4,2463
316,2017/11/30,09:41:23,1.755000E+01,2438,2528,264,3,2528
317,2017/11/30,09:41:23,1.755000E+01,2433,2556,341,1,2556
318,2017/11/30,09:41:23,1.755000E+01,2424,2555,393,0,2555
319,2017/11/30,09:41:23,1.755000E+01,2408,2560,445,-1,2560
320,2017/11/30,09:41:23,1.755000E+01,2392,2582,494,-2,2582
321,2017/11/30,09:41:23,1.755000E+01,2375,2618,548,-3,2618
322,2017/11/30,09:41:23,1.755000E+01,2341,2663,603,-4,2663
323,2017/11/30,09:41:23,1.755000E+01,2310,2689,667,-4,2689
324,2017/11/30,09:41:23,1.755000E+01,2268,2705,734,-3,2705
325,2017/11/30,09:41:23,1.755000E+01,2226,2702,808,-4,2702
326,2017/11/30,09:41:23,1.755000E+01,2186,2692,892,-4,2692
327,2017/11/30,09:41:23,1.755000E+01,2144,2695,972,-3,2695
328,2017/11/30,09:41:23,1.755000E+01,2096,2728,1033,-1,2728
329,2017/11/30,09:41:23,1.755000E+01,2054,2754,1096,6,2754
330,2017/11/30,09:41:23,1.755000E+01,2011,2751,1123,12,2751
331,2017/11/30,09:41:23,1.755000E+01,1956,2727,1154,19,2727
332,2017/11/30,09:41:23,1.755000E+01,1901,2712,1176,25,2712
333,2017/11/30,09:41:23,1.755000E+01,1835,2719,1199,31,2719
334,2017/11/30,09:41:23,1.755000E+01,1753,2753,1213,38,2753
335,2017/11/30,09:41:23,1.755000E+01,1681,2777,1219,41,2777
336,2017/11/30,09:41:23,1.755000E+01,1604,2794,1207,40,2794
337,2017/11/30,09:41:23,1.755000E+01,1521,2808,1193,32,2808
338,2017/11/30,09:41:23,1.755000E+01,1435,2819,1167,19,2819
339,2017/11/30,09:41:23,1.755000E+01,1349,2821,1140,5,2821
340,2017/11/30,09:41:23,1.755000E+01,1248,2809,1112,0,2809
341,2017/11/30,09:41:23,1.755000E+01,1161,2792,1090,-1,2792
342,2017/11/30,09:41:23,1.755000E+01,1073,2776,1075,-1,2776
343,2017/11/30,09:41:23,1.755000E+01,976,2764,1062,-2,2764
344,2017/11/30,09:41:23,1.755000E+01,872,2746,1040,-3,2746
345,2017/11/30,09:41:23,1.755000E+01,766,2721,1012,-1,2721
346,2017/11/30,09:41:23,1.755000E+01,627,2683,970,3,2683
347,2017/11/30,09:41:23,1.755000E+01,516,2659,917,6,2659
348,2017/11/30,09:41:23,1.755000E+01,396,2649,882,3,2649
349,2017/11/30,09:41:23,1.755000E+01,270,2647,853,-1,2647
350,2017/11/30,09:41:23,1.755000E+01,139,2646,817,-4,2646
351,2017/11/30,09:41:23,1.755000E+01,44,2637,776,-5,2637
352,2017/11/30,09:41:23,1.755000E+01,8,2618,738,-3,2618
353,2017/11/30,09:41:23,1.755000E+01,-5,2600,707,-3,2600
354,2017/11/30,09:41:23,1.755000E+01,13,2583,687,-3,2583
355,2017/11/30,09:41:23,1.755000E+01,3,2570,661,-3,2570
356,2017/11/30,09:41:23,1.755000E+01,1,2564,632,-4,2564
357,2017/11/30,09:41:23,1.755000E+01,10,2560,604,-3,2560
358,2017/11/30,09:41:23,1.755000E+01,-8,2547,579,-3,2547
359,2017/11/30,09:41:23,1.755000E+01,-1,2536,550,-5,2536
360,2017/11/30,09:41:23,1.755000E+01,2,2534,534,-5,2534
361,2017/11/30,09:41:23,1.755000E+01,5,2544,527,-3,2544
362,2017/11/30,09:41:23,1.755000E+01,7,2561,527,-2,2561
363,2017/11/30,09:41:23,1.755000E+01,8,2574,526,0,2574
364,2017/11/30,09:41:23,1.755000E+01,15,2582,526,2,2582
365,2017/11/30,09:41:23,1.755000E+01,29,2589,532,6,2589
366,2017/11/30,09:41:23,1.755000E+01,41,2593,540,12,2593
367,2017/11/30,09:41:23,1.755000E+01,65,2597,547,17,2597
368,2017/11/30,09:41:23,1.755000E+01,113,2593,552,20,2593
369,2017/11/30,09:41:23,1.755000E+01,171,2586,560,15,2586
370,2017/11/30,09:41:23,1.755000E+01,230,2579,570,7,2579
371,2017/11/30,09:41:23,1.755000E+01,243,2580,587,1,2580
372,2017/11/30,09:41:23,1.755000E+01,235,2590,602,-2,2590
373,2017/11/30,09:41:23,1.755000E+01,202,2606,618,-4,2606
374,2017/11/30,09:41:23,1.755000E+01,162,2628,636,-3,2628
375,2017/11/30,09:41:23,1.755000E+01,127,2652,657,-5,2652
