"DATA No","DATE","TIME","³µËÙ","A1","A2","A3","A4","A1-----A4ID1"
193,2017/11/30,09:44:05,1.882759E+01,2378,1300,49,0,2378
194,2017/11/30,09:44:05,1.882759E+01,2362,1309,33,3,2362
195,2017/11/30,09:44:05,1.882759E+01,2352,1313,11,0,2352
196,2017/11/30,09:44:05,1.882759E+01,2353,1309,-9,1,2353
197,2017/11/30,09:44:05,1.882759E+01,2361,1301,-23,0,2361
198,2017/11/30,09:44:05,1.882759E+01,2368,1291,-22,4,2368
199,2017/11/30,09:44:05,1.882759E+01,2377,1282,-12,12,2377
200,2017/11/30,09:44:05,1.882759E+01,2387,1273,-1,12,2387
201,2017/11/30,09:44:05,1.882759E+01,2397,1267,-1,6,2397
202,2017/11/30,09:44:05,1.882759E+01,2410,1264,-7,1,2410
203,2017/11/30,09:44:05,1.882759E+01,2419,1261,-13,-3,2419
204,2017/11/30,09:44:05,1.882759E+01,2425,1257,-16,-4,2425
205,2017/11/30,09:44:05,1.882759E+01,2424,1256,-18,-2,2424
206,2017/11/30,09:44:05,1.882759E+01,2419,1257,-16,-4,2419
207,2017/11/30,09:44:05,1.882759E+01,2419,1262,-12,-2,2419
208,2017/11/30,09:44:05,1.882759E+01,2417,1264,-8,-3,2417
209,2017/11/30,09:44:05,1.882759E+01,2413,1264,-5,-3,2413
210,2017/11/30,09:44:05,1.882759E+01,2405,1260,2,-1,2405
211,2017/11/30,09:44:05,1.882759E+01,2392,1255,13,0,2392
212,2017/11/30,09:44:05,1.882759E+01,2387,1249,23,1,2387
213,2017/11/30,09:44:05,1.882759E+01,2384,1246,30,1,2384
214,2017/11/30,09:44:05,1.882759E+01,2380,1245,34,-1,2380
215,2017/11/30,09:44:05,1.882759E+01,2374,1248,37,-1,2374
216,2017/11/30,09:44:05,1.882759E+01,2365,1252,38,0,2365
217,2017/11/30,09:44:05,1.882759E+01,2356,1256,31,-2,2356
218,2017/11/30,09:44:05,1.882759E+01,2349,1260,16,-1,2349
219,2017/11/30,09:44:05,1.882759E+01,2344,1270,-5,-3,2344
220,2017/11/30,09:44:05,1.882759E+01,2341,1283,-20,-2,2341
221,2017/11/30,09:44:05,1.882759E+01,2339,1299,-30,3,2339
222,2017/11/30,09:44:05,1.882759E+01,2339,1310,-31,13,2339
223,2017/11/30,09:44:05,1.882759E+01,2346,1311,-24,25,2346
224,2017/11/30,09:44:05,1.882759E+01,2359,1304,-13,26,2359
225,2017/11/30,09:44:05,1.882759E+01,2371,1287,-6,18,2371
226,2017/11/30,09:44:05,1.882759E+01,2381,1275,-4,8,2381
